sha	date	subject	files	decision	reason	needs_unit_test	needs_devenv	commit_strategy	coupled_to	status
208f32aa9	2025-03-11	rename task_info_t due to os X name collision	7 files: aircraft.c,globe_index.c,net_io.c,readsb.c,track.c,util.c,util.h	take	core decode/output path (critical)	y				
81ef113b1	2025-03-11	geomag: suppress unused variable warning	geomag.c,sdr.c	take	core code (non-critical) | debug/log output only	n				
98824311b	2025-03-11	anet / sdr_beast os x compat	anet.c,globe_index.c,sdr_beast.c	take	core decode/output path (critical)	y				
55ae341a1	2025-03-11	remove unneded sendfile include	net_io.c	take	core decode/output path (critical)	y				
3bc551f12	2025-03-11	work without eventfs on darwin	5 files: api.c,compat,net_io.c,readsb.c,util.c	take	core decode/output path (critical)	y				
a5f3c4009	2025-03-11	make thread join work with apple	readsb.c,util.c	take	core code (non-critical) | Apple/OSX build-portability shim; n/a to Linux prod	n				
45a9cf12b	2025-03-11	persist a feeder uuid that is given for input net connectors	net_io.c	take	core decode/output path (critical)	y				
190b152fc	2025-03-11	fixup net connector specified uuid for incoming data	net_io.c	take	core decode/output path (critical)	y				
ba509868e	2025-03-11	Apple / Mac OS X notes in readme	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
4d9d72cd5	2025-03-11	incrementing version: 3.14.1649	debian/changelog,version	skip	debian changelog metadata only					
394a7e374	2025-03-12	os x readme	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
096df71e2	2025-03-12	more os X readme refinements	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
0e5dc1197	2025-03-12	create --write-json dir if it doesn't exist	readsb.c,util.c	take	core code (non-critical) | creates --write-json dir; test_output_formats/lifecycle	y				
856294d2f	2025-03-12	readme wording	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
2410c5a4d	2025-03-12	macOS homebrew deps	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
3aba77aa3	2025-03-16	don't disconnect for garbage as quickly unless --net-ingest	net_io.c	take	core decode/output path (critical)	y				
840e6f433	2025-03-23	improve net connector backoff for fast disconnect	net_io.c	take	core decode/output path (critical)	y				
b2e12858c	2025-03-23	incrementing version: 3.14.1650	debian/changelog,version	skip	debian changelog metadata only					
bed4320ca	2025-03-23	fix for fast disconnect round 2	help.h,net_io.c,readsb.c	take	core decode/output path (critical)	y			follow-up?	
fae312f5a	2025-03-23	incrementing version: 3.14.1651	debian/changelog,version	skip	debian changelog metadata only					
9add80230	2025-03-26	readme	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
b42b3c8ef	2025-03-26	make garbage ports work properly on ingest	track.c	take	core decode/output path (critical)	y				
435bdb8c1	2025-03-28	autogain: fix wrong minimum gain value being printed	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n			follow-up?	
4734f21fc	2025-03-30	make rate reduction logic only affect a single connection	net_io.c,net_io.h,readsb.h,track.c	take	core decode/output path (critical)	y				
1cc309e98	2025-03-30	if the OS network buffer is full, drop every 2nd packet for 1 second	net_io.c	take	core decode/output path (critical)	y				
e320a64f9	2025-03-30	go to smaller default buffers	help.h,net_io.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
9aad5fc69	2025-03-30	simplify flushClient	net_io.c	take	core decode/output path (critical)	y				
efc9c11c9	2025-03-30	don't spam data discard during tcp scaling window startup	net_io.c	take	core decode/output path (critical)	y				
0a9730bad	2025-03-31	don't allocate globe index stuff if not needed	globe_index.c,readsb.c	take	core decode/output path (critical)	y				
5c32b8bc6	2025-03-31	remove unused code	readsb.c,readsb.h	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
a6691ac8e	2025-03-31	only alloc rangeDirs when needed	5 files: globe_index.c,readsb.c,readsb.h,stats.h,track.c	take	core decode/output path (critical)	y				
b251391b5	2025-03-31	minor missing cleanup on exit	readsb.c	take	core code (non-critical) | cleanup/refactor; no behavior change	n			follow-up?	
65904b412	2025-03-31	fix unlikely buffer overflow in apiUpdate / apiAdd	api.c	take	core decode/output path (critical)	y			follow-up?	
53e773ad0	2025-03-31	change AIRCRAFT_HASH_BITS to a command line argument	8 files: aircraft.c,globe_index.c,help.h,json_out.c,readsb.c,readsb.h,stats.c,track.c	take	core decode/output path (critical)	y				
171caff26	2025-03-31	only allocate Modes.globeLists when globe-index is used	readsb.c,readsb.h	take	core code (non-critical) | perf/memory; no observable output change	n				
c5e00ac2c	2025-03-31	incrementing version: 3.14.1652	debian/changelog,version	skip	debian changelog metadata only					
aaa9bcdb2	2025-04-01	fix network output buffer for json output	net_io.c,net_io.h,readsb.c	take	core decode/output path (critical)	y			follow-up?	
ea003955c	2025-04-01	incrementing version: 3.14.1653	debian/changelog,version	skip	debian changelog metadata only					
62f50d5a3	2025-04-01	adjust buffers for large ro-size better	net_io.c,readsb.c	take	core decode/output path (critical)	y				
b10c89e13	2025-04-01	network buffer comments / debugging switches for flushWrites	help.h,net_io.c,readsb.c	take	core decode/output path (critical)	y				
032f7c905	2025-04-01	data drop logic: tolerate bad connections better	net_io.c,net_io.h	take	core decode/output path (critical)	y				
526d789b7	2025-04-01	incrementing version: 3.14.1654	debian/changelog,version	skip	debian changelog metadata only					
288f2333b	2025-04-01	data drop logic: minor simplification	net_io.c,net_io.h	take	core decode/output path (critical)	y				
5c4c84fa3	2025-04-01	go back to 5 min interval for showing data drop message	net_io.c	take	core decode/output path (critical)	y				
e95f68f1f	2025-04-01	incrementing version: 3.14.1655	debian/changelog,version	skip	debian changelog metadata only					
2e65b0d15	2025-04-01	debugFlush: just show data drop stuff	net_io.c	take	core decode/output path (critical)	y				
b447a0299	2025-04-01	shorten data drop message	net_io.c	take	core decode/output path (critical)	y				
9cb2df9ed	2025-04-01	avoid negative lost percentages due to ping bytes	net_io.c	take	core decode/output path (critical)	y				
3196a7cb4	2025-04-01	once a connection succeeds, do a fresh DNS lookup on reconnect	net_io.c	take	core decode/output path (critical)	y				
6ec88bffc	2025-04-01	minor free on exit	readsb.c	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
37137b20d	2025-04-01	don't reuse DNS lookups for 60 seconds	net_io.c	take	core decode/output path (critical)	y				
4f4fe243e	2025-04-01	incrementing version: 3.14.1656	debian/changelog,version	skip	debian changelog metadata only					
5f6e635ae	2025-04-02	minor fix for net connect error suppression	net_io.c	take	core decode/output path (critical)	y			follow-up?	
86d13b608	2025-04-02	remove last_flush logic	net_io.c,net_io.h	take	core decode/output path (critical)	y				
7f2370080	2025-04-02	getaddrinfo notes	net_io.c	take	core decode/output path (critical)	y				
329c86637	2025-04-02	net connector: ignore 0.0.0.0 and :: as DNS replies	net_io.c	take	core decode/output path (critical)	y				
40c15cbcd	2025-04-02	slow down connect attempts for multiple DNS results	net_io.c	take	core decode/output path (critical)	y				
88be759a5	2025-04-03	binCraft: improve rssi representation	aircraft.c,readsb.c,track.h	take	core decode/output path (critical)	y				
aeb54398f	2025-04-03	slight cpu reduction: ground track calculation: use atan2f instead of atan	mode_s.c,net_io.c	take	core decode/output path (critical)	y				
2b5abcc6d	2025-04-03	minor cpu savings in greatcircle calc	util.c	take	core code (non-critical) | greatcircle distance calc change; util_tests	y				
2bd9d41d0	2025-04-03	move stuff around, mess with bearing function a bit	track.h,util.c,util.h	take	core decode/output path (critical)	y				
175bf2472	2025-04-07	fixup make test	Makefile,readsb.h	take	core code (non-critical) + touches build (resolve to ADSBx side) | fixes make test target itself; test plumbing not new coverage | retag->take: build hunks reconciled by tip customization patch	n		tip-patch		
a38449fea	2025-04-07	deb build: no need to set non-default hash bits anymore	debian/rules	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
e97ea0e47	2025-04-14	incrementing version: 3.14.1657	debian/changelog,version	skip	debian changelog metadata only					
4bd63b8d1	2025-04-17	ignore DF types with icao CRC quicker after receiving zero CRC	track.c	take	core decode/output path (critical)	y				
6ede38d98	2025-04-17	unify place where sockopts are set, set TCP_NODELAY	net_io.c	take	core decode/output path (critical)	y				
1a58f4eae	2025-04-18	fix net receiver id forwarding	net_io.c	take	core decode/output path (critical)	y			follow-up?	
1355d9b10	2025-04-18	incrementing version: 3.14.1658	debian/changelog,version	skip	debian changelog metadata only					
56e653342	2025-04-19	somewhat dynamically resize receiver table	net_io.c,readsb.c,receiver.c	take	core decode/output path (critical)	y				
ebcd1e04e	2025-04-19	improve reduce_forward for quickly alternating squawk	track.c	take	core decode/output path (critical)	y				
3fa691e3f	2025-04-19	ingest: remove unreasonably high message rate clients	net_io.c,net_io.h,readsb.c,readsb.h	take	core decode/output path (critical)	y				
151e73638	2025-04-19	incrementing version: 3.14.1659	debian/changelog,version	skip	debian changelog metadata only					
72b024a94	2025-04-19	slightly more reliably send position messages often for beast reduce logic	track.c,track.h	take	core decode/output path (critical)	y				
f819fa3e8	2025-04-19	incrementing version: 3.14.1660	debian/changelog,version	skip	debian changelog metadata only					
d43d7d814	2025-04-19	make quickGet slightly quicker	aircraft.c	take	core decode/output path (critical)	y				
0ec418431	2025-04-20	don't warn as strictly about save_blob duration	readsb.c	take	core code (non-critical) | debug/log output only	n				
6d0c20682	2025-04-24	nogrind.sh gdb	nogrind.sh	skip	upstream docs/release tooling; ADSBx uses own CI/README					
2ef2b0b37	2025-04-24	add some rarely useful debug code	track.c	take	core decode/output path (critical)	y				
ce8575d36	2025-04-24	prevent emitting old data after client disconnect / connect	net_io.c	take	core decode/output path (critical)	y				
08484db8c	2025-04-24	debug tweaks	track.c	take	core decode/output path (critical)	y				
8660f1f65	2025-04-24	traceLast no output	globe_index.c,readsb.c,readsb.h,track.h	take	core decode/output path (critical)	y				
e9a6ea0bd	2025-04-24	use traceLast to add granular data to full and history traces	globe_index.c,json_out.c,json_out.h,readsb.c	take	core decode/output path (critical)	y				
1c3209739	2025-04-24	with SDR: more consistently forward messages	net_io.c	take	core decode/output path (critical)	y				
7aedf5d32	2025-04-24	incrementing version: 3.14.1661	debian/changelog,version	skip	debian changelog metadata only					
44c867fff	2025-04-25	traceLast: don't write extra data to json if aircraft still active	json_out.c	take	core decode/output path (critical)	y				
e64d45b1e	2025-04-25	incrementing version: 3.14.1662	debian/changelog,version	skip	debian changelog metadata only					
5a6dd3a71	2025-04-25	comment	json_out.c	take	core decode/output path (critical)	y				
fcde5abac	2025-04-26	try other IPs from DNS for instant disconnect	net_io.c	take	core decode/output path (critical)	y				
b16bffc56	2025-04-26	globe-index traces: reduce /run memory usage for inactive aircraft	globe_index.c	take	core decode/output path (critical)	y				
bfc8b2e70	2025-04-26	add ignore_synthetic	net_io.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
a42c4c0f9	2025-04-26	accept_synthetic disconnect: hexdump some data	net_io.c	take	core decode/output path (critical)	y				
f90e746e2	2025-04-26	incrementing version: 3.14.1663	debian/changelog,version	skip	debian changelog metadata only					
1a7b5d4b7	2025-04-26	typo	net_io.c	take	core decode/output path (critical)	y			follow-up?	
be6d87b6c	2025-04-26	beast dump timestamp handling: better defaults	net_io.c	take	core decode/output path (critical)	y				
3b6eab568	2025-04-26	reduce trace memory usage	globe_index.c,readsb.c	take	core decode/output path (critical)	y				
9fce12946	2025-04-26	comment on extening zstd data	globe_index.c	take	core decode/output path (critical)	y				
a42b149ed	2025-04-26	debug output	globe_index.c	take	core decode/output path (critical)	y				
b66f00cd4	2025-04-26	more consistently extend traceChunks	globe_index.c	take	core decode/output path (critical)	y				
60ee90632	2025-04-26	recompress trace chunks for a bit of memory saving	globe_index.c,track.h	take	core decode/output path (critical)	y				
b0865e9d2	2025-04-26	traceChunk logic: better deal with inactive timespans in traces	globe_index.c	take	core decode/output path (critical)	y				
0ae0a51cc	2025-04-27	recompressStateChunk: more statistics	globe_index.c	take	core decode/output path (critical)	y				
1a6822689	2025-04-27	trace heuristic: more resolution for altitude changes	globe_index.c	take	core decode/output path (critical)	y				
72b20df84	2025-04-27	incrementing version: 3.14.1664	debian/changelog,version	skip	debian changelog metadata only					
6b04939a0	2025-04-28	minor tracechunk logic improvement	globe_index.c	take	core decode/output path (critical)	y				
de411030e	2025-04-28	stateChunk: specify int size	track.h	take	core decode/output path (critical)	y				
3dbbe4a2c	2025-04-28	fix rare occurrence of recent trace missing after initial trace write	globe_index.c,json_out.c,readsb.c	take	core decode/output path (critical)	y			follow-up?	
86533e82c	2025-04-28	traceLastNext shuffle	globe_index.c	take	core decode/output path (critical)	y				
f7c66f496	2025-04-28	incrementing version: 3.14.1665	debian/changelog,version	skip	debian changelog metadata only					
f3ceb3d35	2025-04-28	cleanup trace dir creation a little bit	globe_index.c	take	core decode/output path (critical)	y				
ff6da7c29	2025-04-29	conditional deactivation of recompression	globe_index.c,readsb.c	take	core decode/output path (critical)	y				
cc3f1fc19	2025-04-30	debug cleanup	globe_index.c	take	core decode/output path (critical)	y				
327fd6f0a	2025-04-30	reduce frequency of permanent trace writes	globe_index.c,globe_index.h,json_out.c	take	core decode/output path (critical)	y				
cac81e77d	2025-04-30	proper receiver count for aircraft without position	track.c,track.h	take	core decode/output path (critical)	y				
ee9f94041	2025-04-30	incrementing version: 3.14.1666	debian/changelog,version	skip	debian changelog metadata only					
